Sentence,Readability,source,type,readability_confidence,aldi_score,aldi_label,ags_score,ags_label
"جلست فوق حجر بجوار خيمتها , كانت تلهث قليلا ,",10,barec,,1.0,0.013749,low,0.286818,low
"الزحام شديد , لا مكان لقدم ,",8,barec,,1.0,0.0,low,0.353973,mid
"الملايين من المتظاهرين خرجوا إلى الشوارع والميادين ,",7,barec,,1.0,0.00236,low,0.658828,mid
الهتاف يدوي : يسقط النظام .,14,barec,,1.0,0.0,low,0.473018,mid
"خلعت شالها الصوفي الأخضر من حول كتفيها ,",5,barec,,1.0,0.096179,low,0.549573,mid
"فرشته فوق الحجر لتجلسها ,",8,barec,,1.0,0.235605,low,0.443053,mid
"كانت تجاهد للوقوف ,",10,barec,,1.0,0.0,low,0.494545,mid
"تشد عضلاتها ,",5,barec,,1.0,0.014786,low,0.265409,low
"تقاوم الانحناء ,",12,barec,,1.0,0.000525,low,0.360413,mid
"يعود قوامها إلى وضعه المستقيم ,",12,barec,,1.0,0.0,low,0.13838,low
"عظام ظهرها قوية متينة ,",7,barec,,1.0,0.013824,low,0.31191,low
"لها قوة أربعين رجلا وعشرين حصانا , كما كانوا يقولون عنها , لكنها لم تعد شابة , وليست كهلة ,",12,barec,,1.0,0.0,low,0.251009,low
"كلمة عجوز لا تنطبق عليها ,",8,barec,,1.0,0.006681,low,0.526937,mid
لا أحد يعرف عمرها .,8,barec,,1.0,0.029341,low,0.760278,high
"منذ العاشرة صباحا حتى الثانية بعد الظهر كانت تمشي في جوارها وسط الصفوف , خمس ساعات وأكثر , من الجنوب إلى الشمال , فوق الكباري القديمة والجديدة التي تجتاز النيل , كوبري الجيزة , كوبري الجامعة , كوبري الجلاء , كوبري قصر النيل , كوبري ٦ أكتوبر ,",13,barec,,1.0,0.013434,low,0.442545,mid
"الزحام شديد فوق الكباري وفي الشوارع , في المدن والقرى , في كل المحافظات ,",8,barec,,1.0,0.0,low,0.473012,mid
الملايين من المتظاهرين يهتفون : يسقط النظام .,12,barec,,1.0,0.0,low,0.590675,mid
"فوق الحجر الذي وضعت عليه شالها الصوفي الأخضر أجلستها ,",10,barec,,1.0,0.11519,low,0.398931,mid
"لم يعد البريق في عينيها كما كان ,",10,barec,,1.0,0.0,low,0.226169,low
"بصرها لا يزال قويا حادا ,",10,barec,,1.0,0.0,low,0.261814,low
"كانت ترى من بعيد مثل زرقاء اليمامة ,",10,barec,,1.0,0.063416,low,0.233989,low
"البؤبؤ الأسود كبير لونه كلون الليل ,",7,barec,,1.0,0.421442,mid,0.62402,mid
"لم تورثني سواد عينيها ولا بشرتها السمراء ,",8,barec,,1.0,0.009079,low,0.529789,mid
"ورثت بشرتي البيضاء من أبي , ولون عيني من عينيه الخضراوين , وقصر نظري من قصر نظره أيضا الذي يسمونه "" مايوبيا "" ,",11,barec,,1.0,0.111577,low,0.558572,mid
"وقد كان أبي يضع نظارة طبية منذ طفولته ,",10,barec,,1.0,0.0,low,0.359207,mid
"خلعت نظارتي بعد اكتشاف العدسات اللاصقة ,",12,barec,,1.0,0.007393,low,0.654115,mid
"عيناي خضراوان لونهما لون الزرع ,",7,barec,,1.0,0.348618,mid,0.559498,mid
"تلمعان في مرآة حقيبتي , كعيون القططة ,",7,barec,,1.0,0.027296,low,0.534592,mid
"كان أبي يسميني القطة المتوحشة ,",10,barec,,1.0,0.110784,low,0.678791,high
"لاحظت أنها تلهث وريقها جاف , وقد لاحظت حالتها قبل أن تلحظها هي ,",10,barec,,1.0,0.010011,low,0.331639,mid
"أخرجت من حقيبتها زجاجة ماء معدنية صغيرة ,",5,barec,,1.0,0.0,low,0.28498,low
"ناولتها إياها إذ كان معها سندويتش جبنة بيضاء مع شرائح صغيرة من الطماطم ,",10,barec,,1.0,0.335758,mid,0.452469,mid
"التهمتها بشهية الأطفال وشربت الماء كمسافر جف حلقه في الصحراء ,",9,barec,,1.0,0.032945,low,0.307789,low
"قالت رافعة وجهها نحوها : "" تعيشي لنا يا أمي . """,9,barec,,1.0,0.094583,low,0.351697,mid
"أشرق وجهها بالابتسام ,",6,barec,,1.0,0.171177,low,0.416832,mid
"خلعت الشال الأخضر , والبلوفر الصوفي السميك ,",6,barec,,1.0,0.083212,low,0.519468,mid
"بسطت ذراعيها الطويلتين كالجناحين , وصفقت في الهواء كما كانت تفعل وهي طفلة منذ العاشرة من عمرها ,",11,barec,,1.0,0.0,low,0.296831,low
أترى هذه اللحظة في الحلم ؟,9,barec,,1.0,0.0,low,0.337726,mid
"هؤلاء الملايين , النساء , الشباب , الشابات , الرجال , الأطفال , العجائز , هذه الوجوه من كل الأعمار والأشكال والبقاع , ملايين , الملايين تملأ الشوارع والميادين ,",12,barec,,1.0,0.014316,low,0.55463,mid
"أصواتهم تدوي في صوت واحد , يهز عرش الأرض والسماء بكلمتين اثنتين : يسقط النظام !",13,barec,,1.0,0.001506,low,0.333896,mid
"تلاشت خطوط الزمن فوق جبينها ,",11,barec,,1.0,0.0,low,0.667453,high
"انقشعت السحابة والتعب ,",6,barec,,1.0,0.238555,low,0.157589,low
"عاد البريق إلى عينيها ,",7,barec,,1.0,0.003604,low,0.34556,mid
"ألقت البلوفر والشال وحقيبة يدها إلى الأرض , وانطلقت وسط الملايين تهتف معهم : يسقط النظام .",13,barec,,1.0,0.0,low,0.276203,low
"الكلمتان تخرجان من بين شفتيها مع الشهيق والزفير , كأنما في السماء آذان تلتقط الصوت , وآذان الأرض أيضا في جهاز أمن الدولة ,",11,barec,,1.0,0.000533,low,0.424827,mid
"ينشق الكون عن عساكر جيش وبوليس ملابسهم عادية , بعضهم بالجلابيب والشوارب واللحى الطويلة , يحملون البنادق والسياط والنبال ,",12,barec,,1.0,0.176149,low,0.31323,low
"هجموا على ميدان التحرير ,",6,barec,,1.0,0.129451,low,0.498749,mid
"داسوا الناس بالحوافر والعجلات ,",7,barec,,1.0,0.347806,mid,0.38138,mid
"أطلقوا النيران والغازات ,",7,barec,,1.0,0.006647,low,0.448618,mid
"ارتفع الغبار في السماء مع الدخان وكرات من النار ,",7,barec,,1.0,0.0,low,0.554288,mid
"زجاجة الماء تطير من يدها ,",5,barec,,1.0,0.010198,low,0.324067,low
هي نفسها تطير مع الزجاجة وتسقط على الأرض فبدت لها دماء حمراء .,14,barec,,1.0,0.183309,low,0.390542,mid
"دماء أمها تنزف فوق الأسفلت في ميدان التحرير أمام عينيها , كما نزفت فوق الأسفلت في السجن ,",12,barec,,1.0,0.022718,low,0.413976,mid
"أحاطتها بالشال الصوف الأخضر ,",6,barec,,1.0,0.086883,low,0.22275,low
"البلوفر الأزرق أصبح لونه كلون التراب ,",10,barec,,1.0,0.073762,low,0.421476,mid
"قميصها الأبيض يغرق في الدم ,",5,barec,,1.0,0.009106,low,0.514791,mid
"حملوها إلى الخيمة ,",5,barec,,1.0,0.120564,low,0.386029,mid
"غطوها بالبطانية الصوف ,",6,barec,,1.0,0.215632,low,0.450129,mid
"تضاعفت الملايين ,",6,barec,,1.0,0.0,low,0.455706,mid
"طافت التظاهرات في الشوارع والميادين ,",7,barec,,1.0,0.210993,low,0.672129,high
الهتاف يدوي : يسقط النظام .,14,barec,,1.0,0.0,low,0.473018,mid
تاريخ الموسيقى,7,barec,,1.0,0.0,low,0.978958,high
"لا يخفى أن بين الفنون المنتشرة في العالم فنونا خمسة تعرف بالفنون الجميلة ؛ لأنها أجمل الفنون ,",11,barec,,1.0,0.0,low,0.194523,low
"ولا تتأتى إجادتها إلا لذوي المواهب المختصة بها ,",12,barec,,1.0,0.0,low,0.261263,low
"وهذه الفنون الخمسة هي : الموسيقى , والرسم , والنقش , وهندسة البناء , والشعر .",8,barec,,1.0,0.0,low,0.684045,high
"ويظهر من مراجعة أقدم التواريخ أن الموسيقى أقدمها كلها ,",14,barec,,1.0,0.0,low,0.449841,mid
"فقد ورد في التوراة ( سفر التكوين , الفصل الرابع , العدد الحادي والعشرين ) أن "" بوبل بن لامك بن متوشائيل بن محويائيل بن عيراد بن أخنوخ بن قايين بن آدم , أبو كل عازف بالكمارة والمزمار . """,14,barec,,1.0,0.023949,low,0.615542,mid
وفي التوراة نصوص كثيرة تؤيد شيوع الآلات الموسيقية قديما بين اليهود ومن عاصروهم . . .,12,barec,,1.0,0.0,low,0.542916,mid
"وترى على جدران الهياكل وغيرها من الآثار المصرية القديمة رسوم كثير من الآلات الموسيقية التي كانت شائعة بين المصريين قبل الميلاد بأجيال , كما يرى مثل ذلك أيضا على الآثار الآشورية وغيرها .",15,barec,,1.0,0.0,low,0.556861,mid
"والآلات الموسيقية كثيرة تعد بالمئات , وتختلف شكلا وحجما باختلاف الزمان والمكان ,",10,barec,,1.0,0.0,low,0.46451,mid
"ولو أردنا تعدادها ووصفها لضاق دون ذلك المقام ,",13,barec,,1.0,0.001457,low,0.200036,low
"ولكنا نقول : إنها ترجع إلى ثلاثة أشكال أولية , أو هي ثلاثة أنواع :",10,barec,,1.0,0.0,low,0.596227,mid
"( ١ ) ذوات الأوتار , ومنها العود والقانون والكمنجا والرباب وغيرها .",14,barec,,1.0,0.010123,low,0.504873,mid
"( ٢ ) الآلات الصفيرية : وهي التي يضربون بها نفخا بالفم , أو ما يقوم مقامه ,",10,barec,,1.0,0.018392,low,0.316034,low
ومنها المزمار والنفير والفلوت والناي وما جرى مجراها .,14,barec,,1.0,0.055058,low,0.299608,low
"( ٣ ) الآلات الصدمية : وهي التي يستخدمونها ضربا أو خشخشة , مثل : الطبل والدف والصنوج وما شاكلها .",10,barec,,1.0,0.042167,low,0.4376,mid
"ومن أنواع الآلات الموسيقية التي صنعها قدماء المصريين , ووجدت في معابدهم وهياكلهم :",10,barec,,1.0,0.0,low,0.454488,mid
( ١ ) القرن : وهو أبسط أنواع الآلات الصفيرية ؛ لأنه موجود في الطبيعة خلقة كما هو .,10,barec,,1.0,0.0,low,0.473994,mid
"( ٢ ) النفير : وهو مصنوع على مثال "" القرن "" .",11,barec,,1.0,0.008855,low,0.584622,mid
( ٣ ) المزمار : وهو نوعان : المفرد والمزدوج .,5,barec,,1.0,0.04874,low,0.599039,mid
( ٤ ) الطبل : وهو من الآلات الصدمية .,12,barec,,1.0,0.0,low,0.609683,mid
"( ٥ ) "" آلة من ذوات الأوتار "" تشبه آلة موسيقية حديثة كثيرة الاستعمال عند الإفرنج .",12,barec,,1.0,0.0,low,0.449355,mid
"( ٦ ) "" آلة كثيرة الشبه بالعود "" ويتبين من كيفية حملها أن الضرب بها مثل الضرب بالعود تماما .",12,barec,,1.0,0.0,low,0.362211,mid
"وتحت كل من هذه الأقسام أنواع كثيرة ليس هنا محل الكلام عليها ,",10,barec,,1.0,0.008228,low,0.441558,mid
"وإنما نقول إن الآلات الموسيقية قديمة جدا لا يمكن الوصول إلى مخترعها إلا من قبيل ما تقدم ,",11,barec,,1.0,0.0,low,0.392143,mid
"ولم تخرج الآلات الموسيقية الحديثة كالعود والقانون عن كونها متخلقة عن تلك ,",8,barec,,1.0,0.0,low,0.260434,low
"فالعود مثلا كثير الشبه بالآلة الفرعونية السالفة الذكر ,",11,barec,,1.0,0.140491,low,0.40207,mid
"والقانون يغلب على الظن أنه متخلق عن الشكل الخامس , وهو من صنع المصريين القدماء أيضا ,",14,barec,,1.0,0.0,low,0.414016,mid
"وكلاهما من ذوات الأوتار ,",14,barec,,1.0,0.0,low,0.388532,mid
"فقس عليهما الآلات الأخرى المتخلقة عن الآلات الصفيرية والصدمية ومنها "" الفلوت والدف وغيرهما "" .",11,barec,,1.0,0.008474,low,0.271967,low
أما زمن تخلقها أو تنوعها فغير معروف ؛ لتباعد عهدها .,14,barec,,1.0,0.044373,low,0.315223,low
( ١ ) علم الألحان عند العرب,4,barec,,1.0,0.0,low,0.864521,high
"أما العرب فإن علم الألحان قديم عندهم , أو هو مرافق لنظم الشعر ؛ لأنهم يقولون : "" إن العرب إنما جعلت الشعر موزونا لمد الصوت فيه والدندنة ,",15,barec,,1.0,0.0,low,0.404886,mid
"ولولا ذلك لكان الشعر المنظوم كالخبر المنثور ,",13,barec,,1.0,0.0,low,0.382049,mid
"وأما الآلات الموسيقية فربما كان عندهم البسيط منها كالمزمار والطبل والنفير ,",10,barec,,1.0,0.0,low,0.413461,mid
"وأما العود والقانون فقد أخذهما العرب عن الفرس أو الروم في صدر الإسلام , وهاموا بهما وبالغناء كثيرا حتى كان ما نسمعه عن الرشيد ومجالس الغناء عنده . """,14,barec,,1.0,0.0,low,0.315907,low
"وقد نظم شعراء العرب في صدر الإسلام أبياتا كثيرة في مدح العود وغيره ,",15,barec,,1.0,0.000631,low,0.601152,mid
"وقام في صدر الإسلام علماء اشتغلوا في فن الموسيقى وألفوا فيه كتبا , أشهرهم أبو نصر محمد خان الفارابي التركي , الفيلسوف المشهور صاحب التصانيف في المنطق والموسيقى وغيرهما",15,barec,,1.0,0.056298,low,0.557001,mid
( توفي سنة ٣٣٩ه ),6,barec,,1.0,0.052375,low,0.799308,high
وكان كثير البراعة في الموسيقى وضرب الآلات .,10,barec,,1.0,0.0,low,0.544103,mid
"ومما يحكى أنه حضر في مجلس سيف الدولة في دمشق , فأراد سيف الدولة إكرامه , فأمر بإحضار القيان , وكل ماهر في صناعة ضرب الألحان ,",14,barec,,1.0,0.0,low,0.39882,mid
"فلم يحرك أحد منهم آلة إلا عابه الفارابي , وقال له : أخطأت .",12,barec,,1.0,0.006957,low,0.304977,low
فقال له سيف الدولة : هل تحسن في هذه الصنعة شيئا ؟,15,barec,,1.0,0.0,low,0.60918,mid
فقال : نعم .,8,barec,,1.0,0.0,low,0.619141,mid
"ثم أخرج من "" وسطه "" خريطة , ففتحها وأخرج منها عيدانا وركبها , ثم لعب بها فضحك منها كل من كان في المجلس ,",11,barec,,1.0,6.4e-05,low,0.374402,mid
"ثم فكها وغير تركيبها , وضرب بها ضربا فبكى كل من كان في المجلس ,",13,barec,,1.0,0.00414,low,0.317853,low
"ثم فكها وغير تركيبها , وضرب بها ضربا آخر فنام كل من في المجلس حتى البواب , فتركهم نياما وخرج . . .",11,barec,,1.0,0.031468,low,0.355578,mid
"ويقال أيضا إن "" القانون "" إنما هو من صنع "" الفارابي المشار إليه "" , وهو أول من ركبه على الأسلوب الذي هو عليه .",15,barec,,1.0,0.0,low,0.528242,mid
الفصل الأول,5,barec,,1.0,0.0,low,0.683768,high
يوليو ٢٠١٨م,8,barec,,1.0,0.010465,low,0.667112,high
"تستمر أعمدة الكهرباء في التوالي بسرعة خاطفة عبر زجاج نافذة القطار , متطابقة كلها , متكررة لا نهائيا في إيقاع يثير الملل ويعرقل استغراقه في مراقبة مشهد الحقول المنبسطة في وداعة وخمول من شريط السكك الحديدية حتى تخوم البيوت الريفية البعيدة ,",13,barec,,1.0,0.0,low,0.224209,low
لطالما سحرته هذه الأراضي الشاسعة التي لم تزل خضراء رغم أن كل ما حولها قد صار رماديا كالحا .,11,barec,,1.0,0.0,low,0.285775,low
"لم تزل سخية خصيبة منذ قديم الأزل , قبل أن تكون هناك بيوت ريفية , وقبل أن تخترق القضبان الحديدية والقطارات الثقيلة صفحتها الهادئة , وقبل أن تشوه جمالها تلك الكتل الخرسانية القبيحة التي تناثرت داخلها في عشوائية وقحة كطفح جلدي لا شفاء منه .",15,barec,,1.0,0.0,low,0.390979,mid
"كانت تلك الأعمدة المتوالية اللعينة تفسد عليه متعة السكون في حضرة هذا الجمال ,",10,barec,,1.0,0.0,low,0.338475,mid
"وكانت ثرثرة المسافرين وأصوات رنين هواتفهم الفجة تفسد يومه كله , وتثير أعصابه المثارة أصلا من قبل أن يستقل القطار الفاخر الجديد من محطة قطارات العاصمة الرئيسية بميدان رمسيس قاصدا الإسكندرية في مهمة عمل ثقيلة على قلبه .",14,barec,,1.0,0.0,low,0.242624,low
"لقد أضحت كل مهام العمل ثقيلة على قلبه منذ زمن لم يعد يتذكر متى بدأ ,",13,barec,,1.0,0.0,low,0.268842,low
"لكنه يتذكر دائما أنه قد ضاق بهذا العمل , وأنه قد مل أيامه المتطابقة المتوالية في تكرار سقيم كتلك الأعمدة الغبية على جانب شريط السكك الحديدية .",12,barec,,1.0,0.0,low,0.342438,mid
أخرج هاتفه المحمول من جيبه وفتح غطاءه الجلدي الرمادي ثم أخذ يحرك إبهامه على الشاشة بحركة آلية متنقلا بين تطبيقات التواصل الاجتماعي المزعجة تلك .,12,barec,,1.0,0.018284,low,0.278519,low
"الكثير من التنبيهات كما هو المعتاد , زملاء عمل , عملاء قدامى , أقارب بعيدون , زملاء دراسة لا يكاد يتذكرهم , جميعهم يرفع الكلفة ويدس أنفه بمنتهى الأريحية في أدق تفاصيل حياته .",12,barec,,1.0,0.002739,low,0.311817,low
لا يكاد يكتب خاطرة مرت برأسه أو ينشر صورة هنا أو هناك إلا وتنهال عليه التعليقات ؛,12,barec,,1.0,0.012565,low,0.254978,low
هل اشتريت سيارة جديدة ؟,7,barec,,1.0,0.002317,low,0.826379,high
لم تقل لي إنك مسافر إلى أوروبا .,10,barec,,1.0,0.0,low,0.641014,mid
لماذا يرتدي ولدك سلسلة ذهبية ؟,5,barec,,1.0,0.01669,low,0.335312,mid
لا تجوز تهنئة غير المسلمين بأعيادهم .,8,barec,,1.0,0.0,low,0.519672,mid
لا تترحم على هذا الرجل الذي مات بالأمس ؛,10,barec,,1.0,0.023075,low,0.571573,mid
ألا تعرف أنه غير مسلم ؟,10,barec,,1.0,0.006531,low,0.750379,high
أتعجبك مقالة هذا الإخواني حقا ؟,9,barec,,1.0,0.018553,low,0.271177,low
لقد صدمت فيك يا رجل !,10,barec,,1.0,0.034006,low,0.335909,mid
هل أصبحت تؤيد العسكر الآن ؟,10,barec,,1.0,0.0,low,0.314845,low
ألا ترى إلى أين يذهب هذا الرجل بالبلاد ؟,9,barec,,1.0,0.0,low,0.300654,low
"يكره اختراق خصوصيته بهذا الشكل الفج , ويكره المتطفلين ويكره المتطرفين , ولا يحب مناقشة قناعاته وتفاصيل حياته هكذا على الملأ ؛ لأنه ببساطة لا يعبأ بما يعتقده الآخرون عنه .",13,barec,,1.0,0.0,low,0.353997,mid
في كل مرة ينقر إصبعه على زر الإرسال في أي من تلك التطبيقات اللعينة كان يعرف جيدا أنه سيندم على ذلك .,13,barec,,1.0,0.004042,low,0.362513,mid
"أغلق غطاء الهاتف وأعاده إلى جيبه وعاد إلى تأمل المشهد بالخارج , لم تزل الأعمدة اللعينة تتوالى بلا انقطاع .",11,barec,,1.0,0.0,low,0.260009,low
"لم يعد قادرا على تحمل كل ذلك الإزعاج البصري القادم من الخارج , والإزعاج السمعي الذي بلغ منتهاه بالداخل بهذين المراهقين اللذين لم يتوقفا عن المزاح المبتذل بصوت مرتفع , بينما هما يستمعان لأغان مثيرة للغثيان عبر هاتفيهما المحمولين في ذات الوقت ,",13,barec,,1.0,0.002113,low,0.232218,low
"لم يبد على أهلهما أي مبالاة بما يسببه ولداهما من إزعاج لبقية المسافرين الذين لم تبد عليهم كذلك أي علامة عن الامتعاض , وكأنما هناك اتفاق ضمني غير معلن على حق الجميع في ممارسة الإزعاج .",13,barec,,1.0,0.0,low,0.278555,low
"يمكن أن يفقد الناس في هذا البلد كل حق آخر , لكنهم لن يفرطوا قط في حق ممارسة القبح بكل حرية .",12,barec,,1.0,0.0,low,0.373517,mid
"نهض من كرسيه وتناول سترته المعلقة بجوار النافذة , ثم ارتداها معدلا ربطة عنقه متوجها ناحية مؤخرة العربة .",11,barec,,1.0,0.0,low,0.191174,low
"كان يحرص دوما على حجز كرسي مفرد بالدرجة الأولى حتى لا يكون بجواره كرسي آخر ربما يجلس عليه من يمكن أن يضايقه ,",12,barec,,1.0,0.0078,low,0.379057,mid
وبما أنه بات مؤخرا يتضايق من غالبية البشر فقد أراد أن يتخلص من ذلك الاحتمال .,10,barec,,1.0,0.0,low,0.296604,low
"سار ببطء حتى مؤخرة العربة متأرجحا عبر الممر الضيق الطويل بين صفوف المقاعد مع اهتزازات القطار السريع على القضبان ,",11,barec,,1.0,0.005928,low,0.278603,low
فتح باب العربة ليفاجئه الهواء الحار المشبع بدخان التبغ الكثيف والضوضاء المزعجة الناتجة عن صرير العجلات الثقيلة وارتطامها الرتيب بين فواصل القضبان الحديدية .,14,barec,,1.0,0.0,low,0.327629,low
"كان ذلك الباب يفصل بين ركاب العربة الفاخرة وبين كل ذلك الأذى ,",10,barec,,1.0,0.0,low,0.526343,mid
لكن ماذا بوسعه أن يفعل إن كان أذى الركاب أنفسهم أشد ؟,13,barec,,1.0,0.0,low,0.304628,low
"لم يكن يدخن ولم يكن يحتمل رائحة التبغ بهذه الكثافة , لكنه أراد قتل بعض الوقت والهروب من الملل والإزعاج بالداخل ؛",11,barec,,1.0,0.0,low,0.289198,low
فقرر أن يقضي بضع دقائق في تلك المساحة الشحيحة بين عربتين فاخرتين من قطار سريع يقطع المسافة بين المدينتين الأكبر في البلاد دون التوقف في أي محطات .,12,barec,,1.0,0.0,low,0.35662,mid
"سعل مرتين من تأثير الانتقال من هواء العربة المكيف إلى هذه المساحة سيئة التهوية التي تكدس فيها دخان أنواع مختلفة من التبغ , حتى لم تعد الرؤية فيها يسيرة إلا بعد أن تتعود العين على تلك الغلالة الضبابية وتبدأ في تمييز الملامح ,",14,barec,,1.0,0.0,low,0.410483,mid
حتى الأصوات لم يكن من السهل تبينها وسط الضجيج الهادر للعجلات الثقيلة على القضبان الحديدية .,10,barec,,1.0,0.0,low,0.37158,mid
"كان الجميع هنا مثله ؛ صامتين كأنما هم كذلك هاربون من ضجيج البشر في الداخل إلى ضجيج الآلات الحديدية هنا ,",11,barec,,1.0,0.0,low,0.319327,low
"لعلهم يفضلون إزعاج الجماد عن إزعاج البشر , أو لعلهم يختطفون فقط تلك الدقائق القليلة للحصول على جرعة من التبغ لعلها تعينهم على مقاومة كل ذلك الصخب .",13,barec,,1.0,0.0,low,0.307735,low
"بات في وسعه الآن التعرف على ملامح وجوه الموجودين بالمكان , وصارت رئتاه متعايشتين مع ذلك الهجوم الخاطف غير المعتاد من الدخان .",12,barec,,1.0,0.0,low,0.353348,mid
"كان بجوار الباب على الجانب الأيسر رجل أشيب محني الظهر يضيق وجهه بالتجاعيد العميقة , ويرتدي ثيابا قديمة الطراز يبدو أن جسده قد نحل كثيرا عما كان عليه في الزمن الذي اشتراها فيه .",12,barec,,1.0,0.008416,low,0.270327,low
"كان الرجل ذاهلا عن الدنيا محملقا في فراغ بعيد عبر النافذة , رافعا يده اليمنى بسيجارة بدا أنه قد نسيها ؛ فقد كانت تكاد تسقط منها كتلة من الرماد التهمت أكثر من نصف السيجارة .",12,barec,,1.0,0.0,low,0.21239,low
وعلى الجدار المجاور له يستند بظهره شاب طويل القامة في بدلة رسمية يعبث بيد في هاتفه المحمول ويدخن سيجارة بالأخرى .,11,barec,,1.0,0.087059,low,0.278294,low
الفصل الأول,5,barec,,1.0,0.0,low,0.683768,high
"بكرت الحاجة بمبة زوجة الحاج والي عبد الهادي , فلبست معطفها ووضعت على رأسها خمارا مما تضعه زوجات الأعيان في الريف , وأسقطته على وجهها , وخرجت إلى الطريق العام تسير في تؤدة وفي صحة مكتملة ؛",14,barec,,1.0,0.022514,low,0.240099,low
"فما كانت الست بمبة قد تعدت الأربعين من عمرها , وما كان بطء المشية إلا التزاما بما تمليه عليها مكانتها في القرية .",12,barec,,1.0,0.060258,low,0.437821,mid
ولم يطل المسير بالست بمبة ؛,8,barec,,1.0,0.139062,low,0.181704,low
"فقد توقفت عند باب أحال وجهه لقاء الزمن , فهو كالح باهت لا استواء في ألواحه ولا نعومة , فكأنما ألقت عليه الأيام غضونا كهذه التي تلقيها على وجوه البشر .",13,barec,,1.0,0.031133,low,0.244868,low
"وطرقت بمبة الباب ؛ فانشق عن امرأة في خريف العمر , وفي وجهها قناعة وطيبة , وفيه أيضا بعض غضون من العمر تزكيها خصلات من الشعر الأبيض جمحت فأبت أن تبقى حبيسة المنديل القديم الذي تعصب به رأسها .",14,barec,,1.0,0.005127,low,0.291135,low
"وقد دهشت سيدة أم عسل أن تقصد إليها الست بمبة في زيارة صباحية بغير داع إليها , ولكن دهشتها لم تمنعها أن ترحب بالزائرة أعمق ترحيب وأصدقه .",13,barec,,1.0,0.034647,low,0.263181,low
"لم تكن الحاجة بمبة لتزور بيت سيدة أم عسل في الصباح , ولا حتى في المساء ؛ إذا لم يكن هناك سبب ملح للزيارة ؛ كأداء واجب في عزاء أو تهنئة لزواج ,",13,barec,,1.0,0.004787,low,0.404673,mid
أما أن تسقط عليها كما يفعل الأصدقاء - رفعوا بينهم الكلفة والمواعيد - فهذا ما لا يتفق ومكانة الست بمبة أو الحاجة بمبة كما يدعوها الجميع ؛,12,barec,,1.0,0.04672,low,0.294595,low
"فهي زوجة الحاج والي عبد الهادي من أعيان قرية الحمدية , يملك في زمام القرية ثلاثين فدانا ,",12,barec,,1.0,0.00793,low,0.379279,mid
"وهو إلى هذا رجل ذو رأي صائب يلجأ إليه القوم في الملمات , وهو كذلك على صلات وطيدة بذوي الشأن في المديرية - مديرية الشرقية -",14,barec,,1.0,0.005455,low,0.252586,low
"وليس أدل على وجاهته ومكانته المرموقة من أن زين العابدين بك الدرملي وجيه القرية , بل المنطقة ؛ لا يزور في القرية إلا قلة قليلة , من بينها - إن لم يكن في مقدمتها - الحاج والي عبد الهادي .",12,barec,,1.0,0.0,low,0.39096,mid
"والزيارة في الصباح تزيد من هذه الدهشة والعجب والحيرة ؛ فما تعودت النساء في القرية أن يتزاورن في الصباح , فكيف بهذه الزيارة التي تقوم بها الحاجة بمبة إلى هذا البيت المتواضع ؟",12,barec,,1.0,0.0,low,0.348325,mid
"فما يزيد محمدين أبو علي على رجل طيب يملك فدانين اثنين وخمسة أولاد بين بنات ونساء وبنين , وهو بعد يزرع الفدانين بيديه ؛",12,barec,,1.0,0.209084,low,0.431,mid
"فالصلة إذن بين الحاجة بمبة وسيدة , صلة تقوم على العطف أكثر مما تقوم على الصداقة ,",10,barec,,1.0,0.0,low,0.266504,low
"وزيارة الحاجة بمبة لبيت محمدين في أي وقت , إنما تعتبر تنازلا يتلقاه أهل هذا البيت الطيب بكل امتنان وزهو ,",13,barec,,1.0,0.046583,low,0.316508,low
"وزيارة سيدة أم عسل لبيت الحاجة أمر تستعد له سيدة استعدادا كبيرا ,",8,barec,,1.0,0.001136,low,0.273206,low
"ثم هي لا تقوم بهذه الزيارة وحدها , إنما تحرص في غالب الأمر على أن تصحب معها ثلة من نساء القرية .",11,barec,,1.0,0.0,low,0.283487,low
"وهذه الزيارات تتكرر مرات كثيرة في الأسبوع , في حين لا تتم زيارة الحاجة بمبة لسيدة إلا مرة في العام على الأكثر , ولا بد أن يكون هناك داع لتتم الزيارة ؛",12,barec,,1.0,0.0,low,0.377299,mid
إذن فقدوم الست بمبة لا بد أن يكون مصحوبا بالخطير الجليل من الأمر .,11,barec,,1.0,0.008233,low,0.184444,low
"قالت سيدة : أهلا ستي الحاجة , نورت .",13,barec,,1.0,0.301483,low,0.413157,mid
"أهلا وسهلا , تفضلي .",7,barec,,1.0,0.094121,low,0.784373,high
"ودلفت بمبة إلى البيت , ودخلت إلى القاعة التي تعرفها وقالت : كيف أنت يا سيدة ؟",10,barec,,1.0,0.114252,low,0.424605,mid
وأجابت سيدة : الله يبقيك ويطيل عمرك .,8,barec,,1.0,0.103429,low,0.290044,low
دقيقة واحدة أحضر الحصير .,7,barec,,1.0,0.017096,low,0.52326,mid
"- لا , سأجلس على المصطبة .",8,barec,,1.0,0.117805,low,0.219083,low
- أهذا يصح يا ستي الحاجة ؟ !,9,barec,,1.0,0.366808,mid,0.36651,mid
والله أبدا !,7,barec,,1.0,0.103682,low,0.205678,low
حالا . . .,7,barec,,1.0,0.022296,low,0.402462,mid
