Sentence,Readability,source,type,readability_confidence,aldi_score,aldi_label,ags_score,ags_label,art_id,artist_id,artist_name,art_title,writer,composer,verse_order,origin,dialect,corpus_version,word_count
هية,2,tarab,song,0.329512,0.307921,low,0.941866,high,11018.0,1947.0,باسم العلي,حيرانه,غير معروف,غير معروف,68.0,Iraq,Iraqi,Habibi,1.0
صغيرا,2,tarab,poem,0.329475,0.0,low,0.658605,mid,40790.0,2894.0,محمود درويش,غريب في مدينة بعيدة,,,15.0,Palestine,MSA,Tarab,1.0
م تبيعنيش,2,tarab,song,0.329467,0.805096,high,0.679756,high,13486.0,634.0,مصطفى كامل,زهقان,مصطفى كامل,وليد عبد العظيم,11.0,Egypt,Egyptian,Habibi,2.0
جنرال مهموم,2,tarab,song,0.329455,0.048172,low,0.281828,low,30427.0,1028.0,MC Amin - إم سي أمين,Sebny | سيبني,,,10.0,Egypt,Egyptian,Tarab,2.0
Verse 2 - Arsy,2,tarab,song,0.329142,0.294376,low,0.490803,mid,30700.0,2098.0,Arsee,Feesh | فيش,,,18.0,Jordan,Levantine,Tarab,4.0
وكيل بكيل,2,tarab,song,0.329103,0.039352,low,0.438224,mid,4628.0,2166.0,مارسيل خليفة,الليله بدي خلي الكاس,غير معروف,غير معروف,29.0,Lebanon,Levantine,Habibi,2.0
خائف.,2,tarab,poem,0.329059,0.341108,mid,0.209397,low,35146.0,2611.0,قاسم حداد,سجال,,,12.0,Algeria,MSA,Tarab,1.0
اعصار,2,tarab,song,0.329044,0.016679,low,0.485554,mid,30760.0,1054.0,El Rass,Hubut idtirari | هبوط اضطراري,,,46.0,Lebanon,Levantine,Tarab,1.0
‫Welcome بيك,2,tarab,song,0.328986,0.78879,high,0.394493,mid,30551.0,1029.0,Marwan Pablo - مروان بابلو,Abu Mecca | أبو مكة,,,53.0,Egypt,Egyptian,Tarab,2.0
كلش حلو,2,tarab,song,0.328861,0.939525,high,0.337501,mid,17821.0,1495.0,يمان,غاليتي غاليتي,احمد السلطاني,امجد يعقوب,3.0,Iraq,Iraqi,Habibi,2.0
برمي.. كلو مبعوص,2,tarab,song,0.328823,0.786365,high,0.374105,mid,30820.0,2079.0,Jazz Tha Process,Mohami El Deir,,,18.0,Palestine,Levantine,Tarab,3.0
هوايه احس تعبان,2,tarab,song,0.328733,0.823828,high,0.752488,high,17310.0,985.0,احمد برهان,عليه الليل,رائد الاديب,ازهر الحداد,20.0,Egypt,Egyptian,Habibi,3.0
دمشق,2,tarab,song,0.328565,0.0001,low,0.907519,high,12453.0,685.0,محمد عبد الوهاب,دمشق,أحمد شوقي,محمد عبد الوهاب,1.0,Egypt,Egyptian,Habibi,1.0
تمتد,2,tarab,song,0.328485,0.002381,low,0.156848,low,27691.0,2166.0,مارسيل خليفة,يا حادي العيس,محمود درويش,مارسيل خليفه,24.0,Lebanon,Levantine,Habibi,1.0
قنطرة,2,tarab,poem,0.328394,0.226935,low,0.174729,low,40734.0,2894.0,محمود درويش,حوار شخصي في سمر قند,,,78.0,Palestine,MSA,Tarab,1.0
مسجون مسجون,2,tarab,song,0.328336,0.007127,low,0.39884,mid,8009.0,3191.0,فرقه عقد الجلاد,بطن الحوت,غير معروف,غير معروف,16.0,Sudan,Sudanese,Habibi,2.0
طاوله مطاول,2,tarab,poem,0.328251,0.0616,low,0.342935,mid,69513.0,292.0,جميل صدقي الزهاوي,ليس البليد الجاهل,,,24.0,Ottoman Era,Classical,Tarab,2.0
سقفوله يلا,2,tarab,song,0.328195,0.931835,high,0.267511,low,17754.0,884.0,حكيم,عيونه نار,غير معروف,غير معروف,16.0,Egypt,Egyptian,Habibi,2.0
اكبر عيب,2,tarab,song,0.328077,0.03018,low,0.38826,mid,22644.0,1544.0,نصرت البدر,مابيه فراك,غير معروف,غير معروف,8.0,Iraq,Iraqi,Habibi,2.0
Electro Boy,2,tarab,song,0.32793,0.305241,low,0.328263,low,30511.0,1024.0,Molotof - مولوتوف,3esabat | عصابات,,,3.0,Egypt,Egyptian,Tarab,2.0
{ مبهج },2,tarab,song,0.327919,0.165991,low,0.353622,mid,30615.0,1029.0,Marwan Pablo - مروان بابلو,All I need | كل اللي عايزه,,,41.0,Egypt,Egyptian,Tarab,3.0
بس كلمة اگلةللأسف,2,tarab,song,0.32791,0.562882,mid,0.744963,high,3384.0,1881.0,حمزة الاصيل,الدنيا وياي,غير معروف,غير معروف,35.0,Iraq,Iraqi,Habibi,3.0
هيلا هوب,2,tarab,song,0.327763,0.775832,high,0.334882,mid,26283.0,744.0,فرقة وسط البلد,هيلا هوب,غير معروف,غير معروف,1.0,Egypt,Egyptian,Habibi,2.0
انت انا,2,tarab,song,0.327698,0.015412,low,0.971464,high,10162.0,2168.0,ماجدة الرومي,حبيبى,نزار فرنسيس,البينونى,30.0,Lebanon,Levantine,Habibi,2.0
شتريد مني شتريد,2,tarab,song,0.327605,0.851546,high,0.223661,low,24255.0,1467.0,العاني,مكانك القاع,غير معروف,غير معروف,5.0,UAE,Gulf,Habibi,3.0
بسمك,2,tarab,song,0.327549,0.278135,low,0.219803,low,31520.0,1783.0,سيف نبيل,حبك,فقار الماجد,طارق سامي,25.0,Iraq,Iraqi,Tarab,1.0
عشر كلوب,2,tarab,song,0.327549,0.342879,mid,0.297046,low,22644.0,1544.0,نصرت البدر,مابيه فراك,غير معروف,غير معروف,16.0,Iraq,Iraqi,Habibi,2.0
تعري ..,2,tarab,poem,0.327543,0.0,low,0.321815,low,38497.0,3037.0,نزار قباني,القصيدة المتوحشة,,,66.0,Syria,MSA,Tarab,2.0
Qusai,2,tarab,song,0.327496,0.076559,low,0.715669,high,30819.0,1017.0,Qusai,Dream,,,2.0,Palestine,Levantine,Tarab,1.0
أنا عرميز,2,tarab,song,0.327467,0.024961,low,0.335637,mid,30771.0,1059.0,Daboor,Sheikh Jarrah | الشيخ جراح,,,52.0,Lebanon,Levantine,Tarab,2.0
سمار دمار سمار دمار,2,tarab,song,0.32746,0.052682,low,0.263758,low,32606.0,2545.0,رورو حرب,سمار دمار,Ali Wehbi,Ali Wehbi,6.0,Morocco,Meghribi,Tarab,4.0
"ساحة خالية,",2,tarab,poem,0.327402,0.036954,low,0.317724,low,40773.0,2894.0,محمود درويش,حالات وفواصل,,,191.0,Palestine,MSA,Tarab,2.0
هيج انا تالي,2,tarab,song,0.327286,0.849775,high,0.375006,mid,11610.0,2167.0,مادلين مطر,خانوني,قصي عيسى,نور الزين,18.0,Lebanon,Levantine,Habibi,3.0
أنا أكيد,2,tarab,song,0.327211,0.098164,low,0.973811,high,33690.0,2591.0,صابر الرباعي,يا بنات الحلال,علي المولى,فضل سليمان,16.0,Tunisia,Meghribi,Tarab,2.0
هيج انا وضعي,2,tarab,song,0.327199,0.768347,high,0.366005,mid,33951.0,2148.0,مصطفى الربيعي,اطلع اغاتي,ادم,مصطفى الربيعي,9.0,Lebanon,Levantine,Tarab,3.0
س ناضرا بساما,2,tarab,poem,0.327028,0.342935,mid,0.262174,low,46902.0,2680.0,صالح الشرنوبي,خمس وعشرون عاما,,,6.0,Egypt,MSA,Tarab,3.0
أنا كينج,2,tarab,song,0.326983,0.539751,mid,0.997729,high,30171.0,1065.0,Arsenik - أرسينِك,Meen Yet7ada | مين يتحدى,,,17.0,Algeria,Meghribi,Tarab,2.0
خلوه,2,tarab,song,0.326873,0.875359,high,0.432092,mid,11957.0,1144.0,عبد الله الرويشد,خلوه,بنت العطا,بنت العطا,1.0,Kuwait,Gulf,Habibi,1.0
مجروح,2,tarab,song,0.326837,0.261941,low,0.394253,mid,22852.0,1510.0,وليد الشامي,مالك امل,غير معروف,غير معروف,15.0,Iraq,Iraqi,Habibi,1.0
عناب، عناب، عناب,2,tarab,song,0.32679,0.192797,low,0.397697,mid,30520.0,1024.0,Molotof - مولوتوف,Sayyad | صياد,,,2.0,Egypt,Egyptian,Tarab,3.0
أصعد,2,tarab,poem,0.326782,0.048766,low,0.146749,low,34654.0,2611.0,قاسم حداد,معراج,,,5.0,Algeria,MSA,Tarab,1.0
برسغين مغلولين,2,tarab,poem,0.326366,0.327228,low,0.238701,low,35048.0,2611.0,قاسم حداد,الأسير,,,2.0,Algeria,MSA,Tarab,2.0
بروس وين,2,tarab,song,0.326312,0.950048,high,0.34151,mid,30552.0,1029.0,Marwan Pablo - مروان بابلو,Folklor | فولكلور,,,44.0,Egypt,Egyptian,Tarab,2.0
فلفل ..شطه,2,tarab,song,0.326298,0.620554,mid,0.464217,mid,26484.0,819.0,شادية,والله يا بوصه بقيتي عروسه,مرسي جميل عزيز,بليغ حمدي,3.0,Egypt,Egyptian,Habibi,2.0
Yeah!,2,tarab,song,0.326185,0.251766,low,0.601981,mid,30273.0,1001.0,Wezza Montaser - وزة منتصر,Zatit | ظاطت,,,17.0,Egypt,Egyptian,Tarab,1.0
- Mr Fox,2,tarab,song,0.326123,0.110994,low,0.664107,high,30701.0,2082.0,Genius Egypt,Egyptian Rappers Guide | دليل الرابرز المصريين,,,161.0,Jordan,Levantine,Tarab,3.0
أهلا وسهلا,2,tarab,song,0.326115,0.002056,low,0.674298,high,7041.0,2183.0,فيروز,ايفييفا,الأخوين رحباني,الياس رحباني,13.0,Lebanon,Levantine,Habibi,2.0
Smith,2,tarab,song,0.32611,0.000203,low,0.547187,mid,30375.0,1022.0,Mr Kordy,Gold,,,5.0,Egypt,Egyptian,Tarab,1.0
نخله...,2,tarab,poem,0.326016,0.234814,low,0.344824,mid,38361.0,3037.0,نزار قباني,أشهرك في وجه البشاعة .. دفتر شعر,,,29.0,Syria,MSA,Tarab,1.0
لهيب بيسيل .. لهيب بيسيل,2,tarab,song,0.325975,0.043472,low,0.364156,mid,21037.0,592.0,هدى سلطان,لاموني,غير معروف,غير معروف,36.0,Egypt,Egyptian,Habibi,5.0
طبش حجار,2,tarab,song,0.325523,0.987617,high,0.186587,low,30913.0,1012.0,Shabjdeed,Seer sa3 | سير صاع,,,36.0,Palestine,Levantine,Tarab,2.0
هيدا حكي,2,tarab,song,0.325486,0.932002,high,0.315613,low,26266.0,2128.0,نجوى كرم,هيدا حكي,غير معروف,غير معروف,1.0,Lebanon,Levantine,Habibi,2.0
اكيد .. اكيد,2,tarab,song,0.325467,0.112184,low,0.802084,high,15138.0,2574.0,اسماء لمنور,شىْ عادى,النديم,يوسف المهنا,12.0,Morocco,Meghribi,Habibi,3.0
شك شاك شوك,2,tarab,song,0.325435,0.409558,mid,0.501066,mid,1964.0,871.0,خالد سليم,اشك,غير معروف,غير معروف,1.0,Egypt,Egyptian,Habibi,3.0
نعم مشتاق,2,tarab,song,0.325311,0.002693,low,0.547985,mid,25499.0,1144.0,عبد الله الرويشد,نعم مشتاق,ساهر,سليمان الملا,1.0,Kuwait,Gulf,Habibi,2.0
رايح خلاص,2,tarab,song,0.325145,0.790908,high,0.263422,low,4326.0,1212.0,فهد الكبيسي,الله معك,لطفي زيني,عبادي الجوهر,2.0,Qatar,Gulf,Habibi,2.0
أكثر /,2,tarab,poem,0.325102,0.014552,low,0.848999,high,40551.0,2894.0,محمود درويش,قال لها: ليتني كنت أصغر,,,11.0,Palestine,MSA,Tarab,2.0
تقوم موطي,2,tarab,song,0.325036,0.630057,mid,0.292003,low,30612.0,1029.0,Marwan Pablo - مروان بابلو,Mokna 3al Mari5 | مكنة عالمريخ,,,50.0,Egypt,Egyptian,Tarab,2.0
تمسيححح..,2,tarab,poem,0.324953,0.753228,high,0.46615,mid,35474.0,2985.0,شريف بقنه,تدليس الرتابة,,,48.0,Saudi Arabia,MSA,Tarab,1.0
[Malikah],2,tarab,song,0.324855,0.080792,low,0.69677,high,30412.0,1028.0,MC Amin - إم سي أمين,Ya 7akakeen | يا حكاكين,,,1.0,Egypt,Egyptian,Tarab,1.0
اي فد مره,2,tarab,song,0.324841,0.691614,high,0.26039,low,27171.0,1547.0,نبيل الأديب,ولو مرة,محمد الجبوري,حيدر كيتارا,27.0,Iraq,Iraqi,Habibi,3.0
باردة بكداش,2,tarab,song,0.32484,0.943193,high,0.413456,mid,30795.0,1068.0,Anas Arabi,Bikdash - بكداش,,,6.0,Lebanon,Levantine,Tarab,2.0
لحوس بزاز,2,tarab,song,0.324829,0.428967,mid,0.149333,low,30901.0,1012.0,Shabjdeed,Hamlana 2,,,2.0,Palestine,Levantine,Tarab,2.0
كدا هو,2,tarab,song,0.324724,0.933443,high,0.363815,mid,28895.0,2132.0,نانسي عجرم,يا واد يا تقيل,غير معروف,غير معروف,17.0,Lebanon,Levantine,Habibi,2.0
هواء انت,2,tarab,song,0.324618,0.013985,low,0.72039,high,19713.0,2145.0,ملحم زين,كبد بد,غير معروف,غير معروف,13.0,Lebanon,Levantine,Habibi,2.0
شي شي شي,2,tarab,song,0.324581,0.232991,low,0.617127,mid,30789.0,2102.0,Al Nather,Ya Helwa - يا حلوة,,,9.0,Lebanon,Levantine,Tarab,3.0
(يعني),2,tarab,song,0.324555,0.280407,low,0.291032,low,30845.0,1007.0,The Synaptik - السينابتيك,Allaya’teek | الله يعطيك,,,20.0,Palestine,Levantine,Tarab,1.0
Big boss,2,tarab,song,0.324403,0.010829,low,0.316832,low,30323.0,1079.0,"Abo El Anwar, Mousv, Arsenik, DizzyTooSkinny, Batistuta & Lil Baba",Scene Cypher 2 | سين سايفر ٢,,,19.0,Egypt,Egyptian,Tarab,2.0
ملتهب محترق,2,tarab,poem,0.324286,0.114738,low,0.221639,low,77127.0,127.0,ابن خفاجه,تجردت عن غسق,,,4.0,Andalusian Era,Classical,Tarab,2.0
س منسوجان كالبرد,2,tarab,poem,0.324163,0.296849,low,0.279725,low,56559.0,76.0,الأحنف العكبري,لقد هاج لي الوجد,,,30.0,Abbasid Era,Classical,Tarab,3.0
ليل نهار,2,tarab,poem,0.324133,0.003582,low,0.612584,mid,35757.0,2747.0,عبد الرزاق عبد الواحد,تداعيات مندائية,,,85.0,Iraq,MSA,Tarab,2.0
مرمارة رصوف,2,tarab,poem,0.324056,0.545859,mid,0.168294,low,37511.0,3142.0,محمد الشوكاني,خود رداح ربحله,,,9.0,Yemen,MSA,Tarab,2.0
يخرق,2,tarab,poem,0.324001,0.086903,low,0.178033,low,35405.0,2976.0,عبدالرحمن العشماوي,أعطء القوس باريها,,,120.0,Saudi Arabia,MSA,Tarab,1.0
قيصر جديد,2,tarab,song,0.323999,0.006211,low,0.489475,mid,845.0,3191.0,فرقه عقد الجلاد,احتاج دوزنة,غير معروف,غير معروف,3.0,Sudan,Sudanese,Habibi,2.0
قبيلة ....,2,tarab,poem,0.323983,0.096714,low,0.565363,mid,40729.0,2894.0,محمود درويش,جدارية محمود درويش,,,147.0,Palestine,MSA,Tarab,2.0
شارع واضح,2,tarab,poem,0.323921,0.012237,low,0.804259,high,40732.0,2894.0,محمود درويش,لحن غجري,,,1.0,Palestine,MSA,Tarab,2.0
انا دايب,2,tarab,song,0.323886,0.801002,high,0.339952,mid,32739.0,2558.0,جنات,الشمخ الجواني,مصطفي حسن,مصطفي العسال,9.0,Morocco,Meghribi,Tarab,2.0
وصفة عجيبة,2,tarab,song,0.323853,0.001398,low,0.406334,mid,3623.0,953.0,الشيخ امام,الشربه العجيبه,غير معروف,غير معروف,83.0,Egypt,Egyptian,Habibi,2.0
يردون,2,tarab,song,0.323707,0.293566,low,0.254361,low,29744.0,1510.0,وليد الشامي,يردون,غير معروف,غير معروف,4.0,Iraq,Iraqi,Habibi,1.0
مرجل ململم,2,tarab,poem,0.323692,0.427659,mid,0.491547,mid,44227.0,2702.0,أحمد شوقي,أما وزهر الأنجم,,,28.0,Egypt,MSA,Tarab,2.0
شمايكون شمايصير,2,tarab,song,0.323648,0.676897,high,0.317111,low,33473.0,1912.0,حسام الرسام,البصرة ديرتكم هيو هيو,حازم جابر,حسام الرسام,14.0,Iraq,Iraqi,Tarab,2.0
مصر .. مصر ..,2,tarab,song,0.323646,0.019135,low,0.686179,high,23021.0,880.0,حمادة هلال,مبروك علينا,غير معروف,غير معروف,11.0,Egypt,Egyptian,Habibi,4.0
بحر هادئ,2,tarab,poem,0.323628,0.228016,low,0.674089,high,34549.0,3127.0,كريم معتوق,أبجد هوَز,,,121.0,UAE,MSA,Tarab,2.0
مرة أخرى،,2,tarab,poem,0.323473,0.000558,low,0.437753,mid,40460.0,2894.0,محمود درويش,كما لو كان نائماً,,,20.0,Palestine,MSA,Tarab,2.0
معقولة !,2,tarab,song,0.32347,0.544153,mid,0.494674,mid,33587.0,1703.0,علي صابر,معقولة,رامي العبودي,علي صابر,13.0,Iraq,Iraqi,Tarab,2.0
محتاج تفسير,2,tarab,song,0.323416,0.189181,low,0.446657,mid,30245.0,1029.0,Marwan Pablo - مروان بابلو,Hologram | هولوجرام,,,20.0,Egypt,Egyptian,Tarab,2.0
مرجان أحمد مرجان,2,tarab,song,0.323408,0.0,low,0.903699,high,30469.0,1004.0,Vli Weezy - علي ويزي,Morgan | مرجان,,,5.0,Egypt,Egyptian,Tarab,3.0
دي ليلة ورد,2,tarab,song,0.323302,0.669751,high,0.961188,high,12611.0,2241.0,راغب علامة,دي ليلة ورد,مارون كرم,احسان المنذر,6.0,Lebanon,Levantine,Habibi,3.0
جاي تاني,2,tarab,song,0.323236,0.923334,high,0.645124,mid,11150.0,3238.0,خالد محجوب الصحافه,جاي تاني,غير معروف,غير معروف,5.0,Sudan,Sudanese,Habibi,2.0
((عراق,2,tarab,poem,0.323224,0.024565,low,0.436775,mid,40609.0,2894.0,محمود درويش,أتذكر السياب,,,27.0,Palestine,MSA,Tarab,1.0
مسكين مجروح,2,tarab,song,0.323181,0.398499,mid,0.358794,mid,18578.0,685.0,محمد عبد الوهاب,في الجو غيم,احمد عبد المجيد,محمد عبد الوهاب,13.0,Egypt,Egyptian,Habibi,2.0
[Verse 2: Qusai],2,tarab,song,0.323162,0.012605,low,0.46752,mid,30819.0,1017.0,Qusai,Dream,,,23.0,Palestine,Levantine,Tarab,3.0
تتحول,2,tarab,song,0.323161,0.065459,low,0.274081,low,21042.0,3191.0,فرقه عقد الجلاد,لانك عندى كل الخير,غير معروف,غير معروف,20.0,Sudan,Sudanese,Habibi,1.0
مرتاح حيل,2,tarab,song,0.323125,0.705634,high,0.361263,mid,18916.0,1100.0,يوسف العماني,قالوا الغرام,عبد الله العماني,حمد الخضر,6.0,Kuwait,Gulf,Habibi,2.0
قشة .. قشة,2,tarab,song,0.323107,0.179917,low,0.182114,low,28494.0,3225.0,سيد خليفه,يا قماري,غير معروف,غير معروف,2.0,Sudan,Sudanese,Habibi,3.0
البس ابيض منقط,2,tarab,song,0.322674,0.091738,low,0.426746,mid,26200.0,915.0,بلاك تيما,هوب,غير معروف,غير معروف,28.0,Egypt,Egyptian,Habibi,3.0
متجننيش,2,tarab,song,0.322654,0.898955,high,0.266669,low,23120.0,2115.0,هيفاء وهبي,متكلمنيش,نادر عبد الله,محمد محيي,5.0,Lebanon,Levantine,Habibi,1.0
سكة طويلة,2,tarab,song,0.322646,0.355097,mid,0.277542,low,31209.0,1321.0,عبادي الجوهر,سكة طويلة,سعود سالم,عبادي الجوهر,1.0,Saudi Arabia,Gulf,Tarab,2.0
‎ب وداع,2,tarab,song,0.322554,0.037771,low,0.29858,low,32741.0,905.0,تامر عاشور,هيجيلي موجوع,عليم,عمرو الشاذلي,16.0,Egypt,Egyptian,Tarab,2.0
ماسك ميستري,2,tarab,song,0.322516,0.624265,mid,0.216389,low,30222.0,1012.0,Shabjdeed,Basha | باشا,,,26.0,Palestine,Levantine,Tarab,2.0
مسكين أنا,2,tarab,song,0.32232,0.203554,low,0.378908,mid,23645.0,3175.0,مصطفى مضوى,مسكين انا,غير معروف,غير معروف,1.0,Sudan,Sudanese,Habibi,2.0
(مروان & كارول) :,2,tarab,song,0.322311,0.008719,low,0.746759,high,27934.0,2179.0,كارول سماحة,يا رب,مروان خوري,مروان خوري,10.0,Lebanon,Levantine,Habibi,4.0
رونا ساره,2,tarab,song,0.322264,0.298188,low,0.20507,low,13649.0,3191.0,فرقه عقد الجلاد,سارة,غير معروف,غير معروف,2.0,Sudan,Sudanese,Habibi,2.0
مصر مصر مصر مصر,2,tarab,song,0.322145,0.016704,low,0.907715,high,6645.0,615.0,نادر ابو الليف,اهلا بيك,السيد علي,رامي المصري,14.0,Egypt,Egyptian,Habibi,4.0
(31),2,tarab,poem,0.322082,0.004299,low,0.648812,mid,35629.0,2778.0,احمد مطر,أحاديث الأبواب,,,196.0,Iraq,MSA,Tarab,1.0
كلمة اديوس,2,tarab,song,0.322054,0.056947,low,0.220389,low,34013.0,1178.0,روان بن حسين,أديوس,Daffy - Youness Adam,Amira Zouhaïr,9.0,Kuwait,Gulf,Tarab,2.0
يحن يدوب,2,tarab,song,0.322013,0.945735,high,0.168675,low,6561.0,928.0,ايهاب توفيق,اه يا ناري,خالد أمين,محمد رحيم,22.0,Egypt,Egyptian,Habibi,2.0
بناية عملاقة,2,tarab,poem,0.322007,0.070063,low,0.347869,mid,38379.0,3037.0,نزار قباني,أنا مع الإرهاب,,,133.0,Syria,MSA,Tarab,2.0
[Verse 1: Chyno],2,tarab,song,0.321969,0.129426,low,0.51891,mid,30193.0,2090.0,Chyno,Slow It Down,,,3.0,Syria,Levantine,Tarab,3.0
مكبر مهلل,2,tarab,poem,0.321949,0.243732,low,0.111037,low,35970.0,2769.0,بهاء الدين الصيادي,برق حماهم ينجلي,,,12.0,Iraq,MSA,Tarab,2.0
باغي افوت,2,tarab,song,0.321931,0.784087,high,0.206755,low,30681.0,1007.0,The Synaptik - السينابتيك,Tared | طارد,,,57.0,Jordan,Levantine,Tarab,2.0
شلون شلون شلونة,2,tarab,song,0.321792,0.951391,high,0.337537,mid,9056.0,1912.0,حسام الرسام,تذكرين اسيا,غير معروف,غير معروف,10.0,Iraq,Iraqi,Habibi,3.0
مظلوم,2,tarab,song,0.321523,0.044691,low,0.341036,mid,24000.0,1144.0,عبد الله الرويشد,مظلوم,الناصر,يعقوب الخبيزي,1.0,Kuwait,Gulf,Habibi,1.0
بست ايدين,2,tarab,song,0.321458,0.906431,high,0.516015,mid,21152.0,1713.0,علي بدر,لخاطر حبيبي,غير معروف,غير معروف,3.0,Iraq,Iraqi,Habibi,2.0
ندمان أنا ..,2,tarab,song,0.321435,0.814551,high,0.691276,high,3197.0,3268.0,اسامه الشيخ,الحزن النبيل,غير معروف,غير معروف,20.0,Sudan,Sudanese,Habibi,3.0
(فيروز) :,2,tarab,song,0.321394,0.013314,low,0.855503,high,12623.0,2183.0,فيروز,ديروا الميه,الأخوين رحباني,الأخوين رحباني,5.0,Lebanon,Levantine,Habibi,2.0
شباك قديم,2,tarab,song,0.321296,0.009453,low,0.697739,high,14583.0,875.0,حنان ماضي,شباك قديم,غير معروف,غير معروف,1.0,Egypt,Egyptian,Habibi,2.0
ذليل أنت,2,tarab,poem,0.321272,0.022219,low,0.247056,low,40871.0,2894.0,محمود درويش,نشيد,,,101.0,Palestine,MSA,Tarab,2.0
مياد ويميل,2,tarab,song,0.321194,0.428677,mid,0.198313,low,27253.0,1510.0,وليد الشامي,ويلي من الود,الشيخ عبد الله بن حميد القاسمي,وليد الشامي,16.0,Iraq,Iraqi,Habibi,2.0
ايه ايه,2,tarab,song,0.321161,0.947055,high,0.968163,high,13007.0,1298.0,عبد المجيد عبد الله,رحمن يا رحمان,غير معروف,غير معروف,3.0,Saudi Arabia,Gulf,Habibi,2.0
طريق طويل,2,tarab,song,0.321158,0.0,low,0.89143,high,33556.0,2373.0,مسلم,لو بس نرجع,مسلم,مسلم,11.0,Syria,Levantine,Tarab,2.0
روح خبر,2,tarab,song,0.321057,0.562967,mid,0.617349,mid,13215.0,2225.0,زياد الرحباني,روح خبّر,غير معروف,غير معروف,1.0,Lebanon,Levantine,Habibi,2.0
رقص يلا,2,tarab,song,0.321042,0.961669,high,0.468756,mid,17754.0,884.0,حكيم,عيونه نار,غير معروف,غير معروف,28.0,Egypt,Egyptian,Habibi,2.0
شرط أساس,2,tarab,poem,0.320952,0.015395,low,0.510052,mid,40380.0,2920.0,جورج جريس فرح,الليل والحب وحبيبتي,,,2.0,Palestine,MSA,Tarab,2.0
بليلة وفال,2,tarab,song,0.320839,0.397983,mid,0.336332,mid,13636.0,3191.0,فرقه عقد الجلاد,ساجور,غير معروف,غير معروف,9.0,Sudan,Sudanese,Habibi,2.0
15,2,tarab,poem,0.320706,0.017086,low,0.966371,high,34642.0,2611.0,قاسم حداد,ما يوقظ الحجر,,,151.0,Algeria,MSA,Tarab,1.0
افتش وأكوس,2,tarab,song,0.320602,0.337371,mid,0.201581,low,26967.0,3181.0,محمد وردى,وطنا البإسمك كتبنا ورطنا,غير معروف,غير معروف,18.0,Sudan,Sudanese,Habibi,2.0
انت تنام .!,2,tarab,song,0.320572,0.001414,low,0.573903,mid,31245.0,1104.0,نوال الكويتية,وش يسعدك,رحاب,الأنين,14.0,Kuwait,Gulf,Tarab,3.0
رئيسا،,2,tarab,poem,0.320502,0.008101,low,0.387459,mid,35601.0,2778.0,احمد مطر,هات العدل,,,42.0,Iraq,MSA,Tarab,1.0
ام انا درمان,2,tarab,song,0.320328,0.048537,low,0.644594,mid,5485.0,3275.0,ابوعركى البخيت,انا ام درمان,غير معروف,غير معروف,9.0,Sudan,Sudanese,Habibi,3.0
(27),2,tarab,poem,0.320276,0.005178,low,0.66891,high,35629.0,2778.0,احمد مطر,أحاديث الأبواب,,,170.0,Iraq,MSA,Tarab,1.0
ألبي بيكبر,2,tarab,song,0.320046,0.730542,high,0.356434,mid,7459.0,2485.0,الشاب جيلاني,بتروحى,لا يوجد,غير معروف,27.0,Libya,Meghribi,Habibi,2.0
نافورة صادحة,2,tarab,poem,0.319801,0.227825,low,0.185816,low,38476.0,3037.0,نزار قباني,الشفة,,,5.0,Syria,MSA,Tarab,2.0
& Qusai],2,tarab,song,0.31965,0.034139,low,0.552061,mid,30989.0,1017.0,Qusai,Lonely People,,,19.0,Syria,Levantine,Tarab,2.0
شوي شوي ...شوي شوي,2,tarab,song,0.319638,0.897759,high,0.791177,high,18077.0,951.0,ام كلثوم,غني لي شويه شويه,محمود بيرم التونسي,زكريا أحمد,6.0,Egypt,Egyptian,Habibi,4.0
أنيتا,2,tarab,song,0.31962,0.188759,low,0.839817,high,33443.0,868.0,دنيا سمير غانم,أوخي سمير غانم,,,1.0,Egypt,Egyptian,Tarab,1.0
شتا,2,tarab,song,0.319611,0.661219,high,0.545434,mid,14604.0,664.0,محمد منير,شتا,كوثر مصطفى,حسين جاسر,1.0,Egypt,Egyptian,Habibi,1.0
مدروز مقيف,2,tarab,poem,0.319566,0.275444,low,0.139637,low,65373.0,21.0,سبط ابن التعاويذي,خليفة الله الذي وعوده لا تخلف,,,70.0,Abbasid Era,Classical,Tarab,2.0
أمآن أمآن,2,tarab,song,0.319514,0.24598,low,0.554096,mid,33078.0,2121.0,نيللي مقدسي,الحلو طل,زياد جمال,زياد جمال,31.0,Lebanon,Levantine,Tarab,2.0
سيربرايز,2,tarab,song,0.319424,0.690418,high,0.933588,high,30872.0,1007.0,The Synaptik - السينابتيك,Ketheb | كذب,,,34.0,Palestine,Levantine,Tarab,1.0
who's bad,2,tarab,song,0.319359,0.289042,low,0.449042,mid,30469.0,1004.0,Vli Weezy - علي ويزي,Morgan | مرجان,,,16.0,Egypt,Egyptian,Tarab,2.0
[Verse 1: Bader Azem],2,tarab,song,0.319237,0.089182,low,0.531985,mid,30138.0,2096.0,Bader Azem,Sanamin,,,6.0,Jordan,Levantine,Tarab,4.0
22,2,tarab,poem,0.319185,0.017379,low,0.809938,high,34642.0,2611.0,قاسم حداد,ما يوقظ الحجر,,,208.0,Algeria,MSA,Tarab,1.0
