Sentence,Readability,aldi_score,aldi_label,ags_score,ags_label
"فالقدرة على ضبط النفس , هي أساس النجاح ,",12,0.000000,low,0.577359,mid
"بل إن نجوم الرياضة , الذين تنفق وقتك في متابعتهم , ما كان لأحدهم أن يحقق هذا النجاح , إلا بقدر كبير من العمل وضبط النفس ,",12,0.000000,low,0.546758,mid
"فكل منهم منضبط في مواعيد التدريب , ونظام الطعام والنوم ,",12,0.202959,low,0.440876,mid
"وما تبقى من وقت يؤدي فيه واجبه سواء كان طالبا أو غير ذلك ,",10,0.025688,low,0.343439,mid
"ولو أن أحدهم كان مثلك , لا يستطيع السيطرة على رغباته , ويفعل كل ما تهواه نفسه , ما استطاع أن يحقق نجاحا , ومضى في حياته لا يشعر به أحد .",13,0.000000,low,0.372297,mid
"فكل واحد من هؤلاء النجوم الذين تحبهم , وتنفق كل وقتك في متابعة أخبارهم , حقق ما وصل إليه بعد أن فرض قيودا صارمة على نفسه , لأن الرياضة علم وعمل وانضباط وتدريب شاق ,",12,0.000000,low,0.397052,mid
"فالرياضي يمارس اللعب , ولكن بمنتهى الجد .",8,0.005944,low,0.277567,low
"عليك أن تبدأ بتدريب نفسك على الانضباط ,",6,0.000000,low,0.451552,mid
"احرص على عمل برنامج يومي لنفسك , سواء أيام الدراسة , أو حتى خلال العطلة الصيفية ,",10,0.000000,low,0.699481,high
"ففي أيام الدراسة , تضع جدولا يوميا لاستذكار دروسك , ولا تتابع التلفاز إلا يوم العطلة ,",12,0.000000,low,0.422226,mid
"حاول أن تستعين بأسرتك , في إجبارك على تنفيذ ذلك بفرض قيود على التلفاز , فلا تسمح به إلا في اليوم المتفق عليه ,",12,0.000000,low,0.321973,low
"واحرص على أن تبدأ بممارسة الرياضة , حتى لو بدأت بالتمارين السويدية , لمدة نصف ساعة يوميا , أو المشي أو الجري إذا كانت صحتك تسمح بذلك .",13,0.000000,low,0.579499,mid
"من المهم جدا أن تضع لنفسك نظاما غذائيا , يحتوي على العناصر الغذائية المطلوبة , وألا تسرف في تناول النشويات والسكريات , وألا تأكل بين الوجبات ,",12,0.000000,low,0.377519,mid
فإن اضطررت لذلك فلا بأس بشيء من الخضار والفواكه .,13,0.000000,low,0.461937,mid
"العبادة لها دور مهم في التدريب على ضبط النفس ومغالبة الهوى ,",11,0.000000,low,0.335705,mid
"فاحرص على أداء الصلوات جماعة في المسجد , بالإضافة إلى الحرص على النوافل ,",12,0.000000,low,0.390592,mid
"اجعل لنفسك وردا يوميا من القرآن ,",7,0.000000,low,0.541236,mid
لا يستغرق ذلك أكثر من نصف ساعة يوميا .,8,0.000000,low,0.471195,mid
"بقي أن تعرف أنك لو كنت ابنا لواحد من نجوم الرياضة , ما تركك على ما أنت عليه الآن , لأنه بعد أن سار في طريق النجاح , لا يسمح لابنه أن يسير في طريق غيره .",13,0.246622,low,0.415081,mid
بقر اليهود !,3,0.011518,low,0.531396,mid
ألو ألوووو ألووووووووووووووووو,3,0.909729,high,0.617436,mid
هل ستتركني هكذا كأنني بقرة أنهق ؟ !,10,0.049989,low,0.400456,mid
"بهذه الكلمات بدأ أحد المتصلين حواره ,",6,0.000000,low,0.367842,mid
"قلت له : * أولا : ليس من عادة أصدقاء "" ماجد "" أن يتحدثوا هكذا ,",10,0.000000,low,0.463978,mid
"ثانيا : أصدقاء "" ماجد "" لديهم من المعلومات العامة , ما يجعلهم يفرقون بين أصوات الحيوانات , فصوت البقر ليس نهيقا ؟",11,0.000000,low,0.331345,mid
"ثالثا : معنا كثيرون غيرك , ينبغي أن تنتظر حتى يأتي دورك , ولكن يبدو أنك عصبي !",10,0.000000,low,0.248517,low
"* * سأرد عليك بثلاث نقاط أيضا ,",12,0.032007,low,0.356068,mid
"أولا : أنا لست عصبيا كما تقول , ولكنني عصبية , فأنا فتاة ولست فتى ,",10,0.011248,low,0.468793,mid
"ثانيا : أنا آسفة إذا كان قد صدر مني ما يدعو للإزعاج ,",10,0.000000,low,0.214378,low
"ثالثا : ليس بالضرورة أن يعرف كل الناس اسم صوت البقر , خاصة أنه لم يكن مقررا علينا في الدراسة , ولم يسبق لي قراءة كتاب عن البقر .",12,0.000000,low,0.358274,mid
حائر . . بين الاسمين !,7,0.028330,low,0.401344,mid
"* منذ أن وعيت على الدنيا , وأنا اسمي "" ع . . . "" واستمر ذلك بضع سنوات حتى دخلت المدرسة ,",10,0.032083,low,0.441930,mid
"فوجئت أن لي اسما آخر , وهو : عبد . . . """,10,0.000000,low,0.535146,mid
"المشكلة أنني حتى الآن لم أعتد على الاسم الجديد , بل أحب أن يناديني زملائي في المدرسة باسمي القديم ,",12,0.000909,low,0.577101,mid
"ولكن المشكلة أن الاسم الجديد بالنسبة لي هو المكتوب في الأوراق الرسمية بالمدرسة , فماذا أفعل ؟",10,0.000000,low,0.519745,mid
أرجو ألا تذكر اسم بلدي .,8,0.000000,low,0.308448,low
ع . أ,13,0.484159,mid,0.845211,high
* ألم تقرأي القرآن الكريم ؟,9,0.000000,low,0.702194,high
"* * نعم قرأته , وقرأت سورة البقرة , لكن لا أذكر أن فيها شيئا عن صوتها .",13,0.000000,low,0.675443,high
"* سورة البقرة ورد فيها وصف لونها ,",12,0.000000,low,0.652218,mid
"قال تعالى "" ( إنها بقرة صفراء فاقع لونها تسر الناظرين ) . .",11,0.000000,low,0.388172,mid
"أما صوت البقر فقد ورد في سورة الأعراف وسورة طه ,",12,0.000000,low,0.586906,mid
قال تعالى في الآية 148 من سورة الأعراف : ( واتخذ قوم موسى من بعده من حليهم عجلا جسدا له خوار ),14,0.000000,low,0.544391,mid
"إنهم اليهود ,",10,0.000000,low,0.648961,mid
"صنع لهم رجل اسمه السامري تمثال عجل له خوار : أي صوت فعبدوه من دون الله ,",10,0.003174,low,0.571837,mid
فالخوار هو : صوت البقر .,8,0.010005,low,0.417978,mid
* * ولكن ذلك الرجل صنع لهم عجلا وليس بقرة !,10,0.000000,low,0.451555,mid
"* العجل هو ابن البقرة ,",5,0.023301,low,0.732829,high
"ولعلك تلاحظين أن ما ورد عن البقرة في سورة البقرة , وما ورد عن العجل ابن البقرة في سورتي : "" الأعراف وطه "" , كان في معرض الحديث عن اليهود .",14,0.000000,low,0.577896,mid
* * وأنا أعرف أيضا أن القرآن الكريم ذكر صوت الحمار .,8,0.008839,low,0.682245,high
"* ما ورد في القرآن هو وصف لصوت الحمار بأنه أنكر الأصوات ,",12,0.000000,low,0.665868,high
"قال تعالى في الآية 19 من سورة لقمان : ( إن أنكر الأصوات لصوت الحمير ) ,",12,0.000000,low,0.697420,high
"أما صوت الحمار فقد ورد ذكره في قول رسول الله صلى الله عليه وسلم : ( إذا سمعتم صياح الديكة , فاسألوا الله من فضله , فإنها رأت ملكا ,",13,0.000000,low,0.551709,mid
"وإذا سمعتم نهيق الحمار , فتعوذوا بالله من الشيطان .",13,0.000000,low,0.296942,low
فإنها رأت شيطانا ) .,10,0.000000,low,0.492507,mid
المهم . .,3,0.019476,low,0.729800,high
ما هي مشكلتك التي اتصلت بنا من أجلها ؟,10,0.003551,low,0.368965,mid
"* * أنا الحمد لله ليس عندي مشاكل , ولكن رأيتك اليوم ( أون لاين ) فأردت أن أسألك عن السبب , مع أن اليوم ليس الجمعة أو الأحد ؟",11,0.034181,low,0.579696,mid
"* أحيانا ندخل في أوقات إضافية , فربما يكون هناك من لا يستطيع الدخول في مواعيدنا الثابتة ,",10,0.000000,low,0.438323,mid
"ولكن دعيني أسألك , أنت بدأت حوارك بكل هذه العصبية وتقولين إنه ليس عندك مشكلة , فكيف سيكون حالك لو كان عندك مشكلة ؟",11,0.017243,low,0.447503,mid
الله يستر .,3,0.355620,mid,0.206181,low
"* * سوف تصادفك في حياتك أشياء كثيرة اعتدت عليها , أو تحبها أكثر من غيرها , ولكنك تجد نفسك مضطرا للتخلي عنها , إما بإرادتك لأن المصلحة تقتضي ذلك , أو رغم أنفك , لأنك لا تجد بديلا ,",13,0.013813,low,0.208335,low
"لذا عليك أن تدرب نفسك على قبول كل جديد مشروع لا مفر منه , أو إذا كان هو الأفضل , ومن بين هذه الأشياء , ذلك الاسم الذي تصفه بأنه جديد ,",14,0.000000,low,0.406863,mid
"والحقيقة أنه اسمك القديم , الذي سماك به أبوك يوم مولدك .",10,0.061453,low,0.485607,mid
"الأمر الآخر , أن اسمك هذا المكتوب في الأوراق الرسمية , معناه جميل ,",10,0.000000,low,0.503297,mid
"وإذا كان غير شائع فهو يعطيك فرصة للتفرد , خاصة إذا تميزت فيما بعد وأصبحت ذا شأن في فرع من فروع العلم والمعرفة .",12,0.000000,low,0.270854,low
إلى كل أب وأم,4,0.000563,low,0.866625,high
"حينما اكتشف أحد الصينيين طريقة أرخص لصناعة الورق سنة 105م , أصبح ذلك الاختراع هو الطريقة المثلى لتدوين العلم ,",11,0.000000,low,0.453695,mid
"فهل كان مجرد امتلاك الورقة والقلم في ذاك الوقت , يكفي لأن يكون الإنسان ذا علم وثقافة ؟",12,0.000000,low,0.437628,mid
لا . .,1,0.066002,low,0.752864,high
"بل أنه إذا لم يحسن استخدامها , تظل الورقة مجرد أداة للعبث أو ( الشخبطة ) .",12,0.010703,low,0.304400,low
"الكمبيوتر الآن هو بديل للورقة والقلم ,",7,0.021997,low,0.672264,high
"واقتناؤه في حد ذاته ليس دليلا على العلم والثقافة , بل إن اقتناءه من غير وعي وعلم وثقافة , يصبح أداة للعبث ,",12,0.000000,low,0.309180,low
"إلا أن هذا العبث يحدث في عقول أولادنا , وفي أخلاقهم , بل يصل الأمر أحيانا إلى معتقداتهم .",12,0.000000,low,0.396092,mid
"كثير من الآباء والأمهات يظن أنه أدى واجبه , بمجرد شراء جهاز كمبيوتر لأولاده , ثم يتركهم بعد ذلك فريسة لأخطاره ,",11,0.044534,low,0.346219,mid
"ليس معنى ذلك أن تجتنب استعماله , فقد أصبح وسيلة مهمة في حياتنا , ولكن لا بد من استخدام وسائل الحماية والأمان ,",11,0.000000,low,0.369393,mid
"فالكهرباء مثلا لا غنى عنها رغم خطورتها , لذا فإن استخدامها محاط بأقصى درجات الحماية , وإلا فإنها تصبح خطرا مدمرا .",12,0.000000,low,0.285020,low
"لعل حذرنا من الكهرباء أشد وأكبر , لأننا نلمس شدة خطرها عند وقوعه , حتى لو أصابت شخصا واحدا ,",11,0.000000,low,0.344467,mid
ولكن سوء استعمال الكمبيوتر قد يصيب أمة كاملة ولكن في هدوء .,10,0.000000,low,0.417577,mid
"ينبغي أن نتابع استعمال أولادنا لهذا الجهاز المهم الخطير ,",10,0.000000,low,0.306803,low
"وهذه المتابعة تتمثل في ألا يغطي على الواجبات وبقية الأنشطة الأخرى , وأن يكون استعماله مسخرا لاهتماماتهم , وألا ينفرد أحدهم به ,",12,0.000000,low,0.291408,low
"يمكن التحكم في ذلك بكلمة سر للجهاز , أو بغير ذلك من الطرق ,",10,0.000000,low,0.438754,mid
"وينبغي أن يعرف أولادنا أن هذا ليس شكا في أخلاقهم , ولكن حماية لهم من النفس الأمارة بالسوء .",14,0.000000,low,0.313436,low
خليل الحداد,3,0.001301,low,0.292020,low
المجلة الرياضية,6,0.000000,low,0.817864,high
إعداد : خالد فؤاد,12,0.000000,low,0.709004,high
بطولة كأس أمم آسيا 2007 ال 14 . . بدأت في أربع دول آسيوية,12,0.000000,low,0.755545,high
منتخب الإمارات في المجموعة ( ب ) مع قطر واليابان وفيتنام,7,0.003115,low,0.858669,high
كأس أمم آسيا هي بطولة كرة القدم الأكثر أهمية في قارة آسيا .,12,0.000000,low,0.596840,mid
تقام البطولة كل 4 سنوات .,10,0.000000,low,0.552046,mid
وكانت قد بدأت أولى بطولاتها عام 1956 في هونج كونج .,10,0.000000,low,0.668543,high
"من المعروف أن نظام البطولة يقضي بأن تجرى أولا تصفيات قبل بداية البطولة ,",10,0.000000,low,0.431556,mid
تتأهل المنتخبات الحاصلة على أعلى النقاط حسب نظام المجموعات .,12,0.000000,low,0.662301,high
"كما يوجد دور أول في نهائيات البطولة ,",5,0.000000,low,0.404778,mid
"يقسم المنتخبات المتأهلة على مجموعات أيضا ,",10,0.052194,low,0.431189,mid
"يتأهل الأفضل منها إلى الأدوار التالية , والتي تكون بنظام خروج المغلوب .",12,0.000000,low,0.434328,mid
"أول كأس لأمم آسيا نظمها الاتحاد الآسيوي لكرة القدم عام 1956 في هونج كونج ,",12,0.007302,low,0.716382,high
"واستمرت من 1 سبتمبر حتى 15 سبتمبر , وفاز بها منتخب كوريا الجنوبية .",10,0.000000,low,0.619322,mid
وتأهل يومها منتخب هونج كونج تلقائيا لأنه المنتخب الذي استضافت بلاده النهائيات .,10,0.014173,low,0.557291,mid
وأقيمت البطولة الثانية عام 1960 في الفترة بين 14 و21 أكتوبر في كوريا الجنوبية التي فازت بها أيضا للمرة الثانية .,11,0.000000,low,0.605684,mid
"البطولة الرابعة أقيمت العام 1968 في إيران , وفاز بها المنتخب الإيراني .",14,0.000000,low,0.704737,high
"أما البطولة الخامسة فأقيمت في تايلاند عام 1972 , وفاز بها المنتخب الإيراني للمرة الثانية ,",10,0.000000,low,0.599061,mid
وشاركت في البطولة منتخبات كمبوديا والكويت وكوريا الجنوبية والعراق .,12,0.000000,low,0.741212,high
"أقيمت بطولة كأس أمم آسيا السادسة عام 1976 , في إيران ,",10,0.000000,low,0.684465,high
وتمكن المنتخب الإيراني من الفوز بلقبها للمرة الثالثة على التوالي .,12,0.000000,low,0.634460,mid
"وفي عام 1980 , أقيمت البطولة السابعة في الكويت بين 15 سبتمبر و20 سبتمبر ,",9,0.000000,low,0.740789,high
"وشارك فيها 10 منتخبات , قسمت على مجموعتين ,",10,0.000380,low,0.575853,mid
واستطاع المنتخب الكويتي الفوز بالكأس الآسيوية لأول مرة .,8,0.000000,low,0.543521,mid
"في عام 1984 , أقيمت البطولة الثامنة في سنغافورة بين 1 ديسمبر و16 ديسمبر ,",10,0.000000,low,0.773261,high
"واستطاع المنتخب السعودي الفوز بها لأول مرة , بعد فوزه على المنتخب الصيني في المباراة النهائية 2 / صفر .",11,0.000000,low,0.598855,mid
"في البطولة التاسعة التي أقيمت في قطر عام 1988 , بين 2 ديسمبر و18 ديسمبر , بين 2 ديسمبر و18 ديسمبر , تمكن المنتخب السعودي من الفوز بها للمرة الثانية ,",11,0.000000,low,0.727311,high
"وأقيمت البطولة العاشرة لكأس أمم آسيا في اليابان عام 1992 , وفاز بها المنتخب الياباني للمرة الأولى بعد أن تغلب على المنتخب السعودي في المباراة النهائية بنتيجة 2 / صفر في مدينة هيروشيما .",12,0.000000,low,0.669132,high
"في عام 1996 , أقيمت البطولة الحادية عشرة في دولة الإمارات العربية المتحدة بين 4 ديسمبر و21 ديسمبر ,",10,0.000000,low,0.788178,high
واستطاع المنتخب السعودي الفوز بها بعد فوزه في المباراة النهائية بركلات الترجيح على منتخب الإمارات .,14,0.000000,low,0.546935,mid
"وأقيمت البطولة الثانية عشرة في لبنان بين 12 أكتوبر و29 أكتوبر , وفاز بها المنتخب الياباني بعد فوزه على حامل اللقب المنتخب السعودي بنتيجة 1 / صفر في المباراة النهائية التي أقيمت في مدينة بيروت .",12,0.000000,low,0.673756,high
"في عام 2004 , أقيمت البطولة الثالثة عشرة في الصين في الفترة من 17 يوليو وحتى 7 أغسطس , وفاز بها المنتخب الياباني , بفوزه على منتخب الصين في المباراة النهائية , ليحصل على ثالث لقب له .",14,0.000000,low,0.645161,mid
"كان من أبرز نتائج البطولة رقم 12 , خروج المنتخب السعودي من الدور الأول للبطولة بعد ظهوره بمستوى غير متوقع , كذلك منتخب البحرين الذي ظهر بمستوى جيد وأنهى البطولة في المركز الرابع ,",14,0.000000,low,0.424937,mid
"كما وصل منتخب الأردن إلى دور ربع النهائي لأول مرة , وتأهل منتخب العراق للدور ربع النهائي أيضا .",10,0.000000,low,0.638387,mid
"خلافا لما كان متبعا طيلة الأعوام السابقة من إقامة البطولة كل أربع سنوات , تقام البطولة الرابعة عشرة هذا العام ( 2007 ) بدلا من عام 2008 أي بعد 3 سنوات فقط من البطولة الثالثة عشرة ,",12,0.000000,low,0.409930,mid
"وذلك بسبب وجود العديد من الأحداث الرياضية المهمة مثل الألعاب الأولمبية التي ستقام عام 2008 في بكين بالصين , وبدء تصفيات كأس العالم 2010 وغيرها .",12,0.000000,low,0.639841,mid
"لذا , تقرر أن تقام البطولة في الفترة من 7 يوليو 2007 , في أربع دول لأول مرة , وهي : إندونيسيا , وماليزيا , وفيتنام , وتايلاند .",12,0.000000,low,0.589620,mid
كما سيشارك منتخب أستراليا في البطولة بعد أن انضمت أستراليا إلى الاتحاد الآسيوي لكرة القدم .,12,0.000000,low,0.721803,high
"يشترك في البطولة الرابعة 6 منتخبات عربية , هي : الإمارات والسعودية وسلطنة عمان وقطر والعراق والبحرين . . إلى جانب منتخبات أستراليا واليابان وأوزبكستان وإيران والصين وكوريا الجنوبية , بالإضافة إلى المنتخبات الأربعة التي تستضيف البطولة على أرضها وهي منتخبات تايلاند وفيتنام وإندونيسيا وماليزيا .",14,0.000000,low,0.769093,high
جاءت منتخبات تايلاند والعراق وأستراليا وسلطنة عمان في المجموعة الأولى .,7,0.000000,low,0.721124,high
ومنتخبات فيتنام واليابان والإمارات وقطر في المجموعة الثانية .,8,0.000000,low,0.797012,high
ومنتخبات ماليزيا وإيران والصين وأوزبكستان في المجموعة الثالثة .,8,0.001118,low,0.776697,high
ومنتخبات إندونيسيا وكوريا الجنوبية والسعودية والبحرين في المجموعة الرابعة .,12,0.000000,low,0.820546,high
منتخب الإمارات . . وكأس أمم آسيا لكرة القدم,5,0.000000,low,0.789003,high
"انضمت كرة القدم الإماراتية إلى الفيفا عام 1972 ,",8,0.000000,low,0.770860,high
وشهدت الأعوام التي تلت ذلك إنجازات كبيرة . . كان أهمها وأروعها تأهل منتخب الإمارات إلى مونديال إيطاليا عام 1990 .,11,0.000000,low,0.469077,mid
وعلاقة كرة الإمارات بكأس أمم آسيا طويلة وطيبة .,8,0.004296,low,0.466248,mid
"ففي الفترة من 16 إلى 25 نوفمبر عام 1979 استضافت الإمارات في العاصمة أبو ظبي تصفيات المجموعة الأولى المؤهلة إلى نهائيات الأمم الآسيوية في الكويت عام 1980 ,",14,0.000000,low,0.578220,mid
"وبلغت الإمارات النهائيات لأول مرة , ليكون بمثابة أول نجاح دولي إماراتي لمنتخب الإمارات ,",12,0.000000,low,0.428054,mid
وتكرر إنجاز التأهل مرة ثانية في البطولة الثانية في سنغافورة عام 1984 عبر التصفيات التي استضافتها مدينة جدة بالسعودية .,14,0.000000,low,0.660281,high
كما تأهل للمرة الثالثة إلى نهائيات الدوحة عام 1988 .,8,0.000000,low,0.570561,mid
"وفي بطولة عام 1992 في اليابان تأهل منتخب الإمارات من جديد إلى النهائيات ,",10,0.000000,low,0.806045,high
"ووقع في مجموعة صعبة ضمت منتخبات إيران واليابان وكوريا الشمالية ,",12,0.000000,low,0.767540,high
"وصعد المنتخب إلى الدور قبل النهائي , لكنه احتل المركز الرابع في النهاية , وتتواصل مرحلة التفوق الإماراتي آسيويا .",12,0.000000,low,0.440270,mid
"وفي نهائيات كأس الأمم الآسيوية التي أقيمت في الإمارات عام 1996 , اقترب منتخب الإمارات كثيرا من الفوز باللقب ,",12,0.000000,low,0.611770,mid
"غير أن ركلات الترجيح انحازت للمنتخب السعودي في المباراة النهائية ,",10,0.011225,low,0.596074,mid
واحتل المنتخب الإماراتي المركز الثاني ( الوصيف ) . . محققا أفضل إنجاز له في تاريخ البطولة .,12,0.000000,low,0.510625,mid
"وفشل المنتخب في التأهل لنهائيات بطولة عام 2000 في لبنان , إلا أنه عاد ليتأهل إلى نهائيات بطولة عام 2004 في الصين .",12,0.000000,low,0.676220,high
"وفي بطولة هذا العام 2007 , تأهل المنتخب الإماراتي , وكله أمل في استعادة التألق الذي عاشه مطلع التسعينات , خاصة أن البطولة تأتي بعد أشهر قليلة من الفوز التاريخي الكبير الذي حققه المنتخب بالفوز بكأس الخليج لأول مرة في تاريخه , وبعد أن اجتاز التصفيات بجدارة واستحقاق متصدرا مجموعته في التصفيات التي ضمت منتخبات عمان والأردن وباكستان .",14,0.000000,low,0.434671,mid
ثلاثة منتخبات فقط فازت بكأس أمم آسيا ثلاث مرات :,12,0.000000,low,0.782140,high
"إيران أعوام 1968 , 1972 , 1976",8,0.000000,low,0.785285,high
"السعودية أعوام 1984 , 1988 , 1996",8,0.008899,low,0.748178,high
"اليابان أعوام 1992 , 2000 , 2004",8,0.003526,low,0.807795,high
ضرب الحكام . . ظاهرة خطيرة !,11,0.022871,low,0.580954,mid
"تزايدت في ملاعب كرة القدم العالمية , مناظر مؤذية بدأت تنتشر بشكل متسارع , حيث تزايد الشتم , والبصق , والضرب , والعنف .",11,0.000000,low,0.437265,mid
"وتجاوز كل ذلك اللاعبين إلى الحكام , الذين ينالون القسط الأكبر من ذلك نتيجة قرار يتخذه الحكم داخل الملعب .",11,0.000000,low,0.363451,mid
"معظم من يعترضون على الحكام هم لاعبون نصبوا أنفسهم قضاة على الحكام , وبعدما يعتدون على الحكم يقولون إنه ( ظالم ) لم يعطهم حقهم في كرة معينة .",12,0.047106,low,0.310361,low
"والحكم المسكين لا يتعرض للضرب من اللاعبين فقط , بل ربما تكون الجماهير هي المعتدية , مثلما حدث في مباراة المنتخب الدانماركي الأخيرة مع المنتخب السويدي ضمن التصفيات المؤهلة لنهائيات بطولة كأس أمم أوروبا 2008 ( يورو 2008 ) , عندما اقتحم مشجع دانماركي الملعب , وقام بالاعتداء على الحكم الدولي الألماني "" هيربرت فاندل "" بعد طرده لأحد لاعبي المنتخب الدانماركي واحتسابه لضربة جزاء لمصلحة المنتخب السويدي بعد استشارة الحكم المساعد .",14,0.000000,low,0.431105,mid
"وضرب الحكام مسألة غير مقبولة يجب أن تحل , لكن قبل أن تحل علينا أن نعرف من هو السبب في ضرب الحكام ؟",11,0.000000,low,0.466840,mid
* أولا اللاعب :,3,0.000000,low,0.854127,high
فاللاعب المثالي هو الذي يتحلى بالأخلاق الرياضية قبل دخوله لأرض الملعب .,10,0.000000,low,0.516968,mid
* ثانيا حكم المباراة :,5,0.000000,low,0.755091,high
"وعليه أن يراعي دوره في المباراة في مهنته التي تحتاج للصدق والأمانة والعدل , قبل أن تحتاج للفكر الرياضي .",12,0.000000,low,0.323971,low
"وألا يسهو أثناء المباراة , لأنه لو سها للحظة واحدة , فإنه يرتكب خطأ فادحا يصعب حله , ووقع في مشكلة مع أحد الفريقين .",13,0.005685,low,0.325622,low
"* ثالثا مدرب الفريق : هو الذي يجب عليه أن يعد لاعبيه ويعودهم على الأخلاق الرياضية الحسنة , والروح الرياضية قبل اللعب , بعيدا عن هتافات الجماهير غير اللائقة .",12,0.000000,low,0.414584,mid
"* رابعا الجمهور : مشجعو الفريق , الذين يحبون فريقهم , وتصل درجة حبهم لفريقهم لدرجة كبيرة من "" هوس "" التشجيع ,",13,0.068331,low,0.434333,mid
"فإذا أخطأ الحكم خطأ ما ولو كان خطأ صغيرا , فإن الجماهير تبدأ في توجيه الكلمات غير اللائقة إليه .",13,0.000000,low,0.386043,mid
* خامسا لجنة التنظيم :,12,0.000000,low,0.685433,high
"منظمو البطولات لهم دور بارز في خلق هذه المشكلة , لأن عليهم اختيار حكام مناسبين ودوليين لائقين للبطولات , والمباريات ذات الحساسية .",12,0.000000,low,0.419355,mid
"كان الحكم الألماني "" هيربرت فاندل "" الذي أدار المباراة بين الدانمارك والسويد في العاصمة الدانماركية "" كوبنهاجن "" ضمن تصفيات كأس أمم أوروبا 2008 في النمسا وسويسرا , قد تعرض للضرب ,",14,0.000000,low,0.482291,mid
"وأوقف المباراة قبل دقيقة واحدة من نهايتها , وكانت النتيجة التعادل ( 3 / 3 ) .",10,0.000000,low,0.643400,mid
"قال الحكم : أتمنى ألا يحدث مثل هذا الاعتداء مستقبلا ,",10,0.000000,low,0.401309,mid
"فإننا عندما نرى عنفا من هذا النوع يقوم به لاعب أو متفرج , نضع بطريقة غير مشروعة بعض علامات الاستفهام .",13,0.000000,low,0.323106,low
"كان الحكم الألماني الذي قاد المباراة النهائية لدوري أبطال أوروبا بين ميلان الإيطالي وليفربول الإنجليزي , التي انتهيت بفوز ميلان ( 2 / 1 ) , قد أشهر البطاقة الحمراء في وجه المدافع الدانماركي "" كريستيان بولسن روزنبرج "" في الدقيقة 89 , بعدما اعتدى على لاعب سويدي داخل منطقة جزاء الدانمارك ,",14,0.000000,low,0.666926,high
"وأشار الحكم إلى ضربة جزاء , مما أثار حفيظة المشجع الدانماركي , الذي تجاوز الحاجز الأمني , وهاجم الحكم قبل أن يلقي رجال أمن الملعب القبض عليه ويسلموه إلى الشرطة .",14,0.000000,low,0.423028,mid
"ولم ير "" فاندل "" بنفسه الضربة التي وجهها لاعب الدانمارك إلى اللاعب السويدي , لكنه سأل عنها مساعد الحكم ,",11,0.000000,low,0.265475,low
وقال معلقا : لا أفهم لماذا يتصرف لاعب كرة قدم بهذه الطريقة ؟,8,0.000000,low,0.372687,mid
المباراة كانت رائعة .,10,0.000000,low,0.498620,mid
"كانت عبارة عن مهرجان هجومي , ومهرجان أهداف , لكن في النهاية يجب معاقبة لاعبين ( فظين ) مثل "" بولسن "" .",14,0.071268,low,0.559226,mid
أعترف بأنني أصبت بالصدمة لعدة دقائق بعد الاعتداء علي لكنني سرعان ما بدا لي أنه من الأفضل إيقاف المباراة تعبيرا عن إدانتي للعنف من اللاعبين . . والجمهور,13,0.000000,low,0.275637,low
جوجو,7,0.487577,mid,0.112848,low
ها أنا أصحب حفيدي جوجو إلى الروضة . .,7,0.411028,mid,0.487532,mid
ما أشبه الأمر بزمني عندما كنت طفلا . .,10,0.000661,low,0.220322,low
نفس القلق يرتسم على الوجوه الصغيرة . .,9,0.016789,low,0.395115,mid
أذكر نظراتي المركزة على عيني أبي .,5,0.012017,low,0.697235,high
كنت أفكر وأفكر . .,10,0.171977,low,0.764849,high
داخل رأسي كانت تدور أفكار طفولية أتمناها ولا أتصور أنها ستتحقق . .,10,0.108559,low,0.296315,low
"كأن يغير أبي رأيه ويقول تعال يا صغيري سنعود إلى المنزل ,",11,0.390638,mid,0.341728,mid
"كنت أمزح عندما صحبتك إلى المدرسة , فلنعد كي تلعب وتلهو قدر ما تشاء . .",10,0.158546,low,0.334925,mid
"هيا , ادخل بسرعة .",12,0.405638,mid,0.455448,mid
ليس لطيفا أن تتأخر في أول يوم لك في المدرسة !,10,0.000000,low,0.234733,low
حضانة أولى .,7,0.000000,low,0.638398,mid
فصل الآنسة حبوبه حمد . .,5,0.140749,low,0.495034,mid
سعيد . .,1,0.017110,low,0.692255,high
موزة . .,1,0.363273,mid,0.571596,mid
سلمان . .,1,0.041503,low,0.736804,high
ليلى . .,7,0.063592,low,0.690303,high
سيف . .,1,0.208554,low,0.514563,mid
عبود . .,2,0.045019,low,0.599294,mid
جوجو . .,7,0.462307,mid,0.234587,low
سعدون . .,12,0.231118,low,0.398219,mid
ستكونون زملاء دراسة في فصل واحد هذا العام يا صغاري .,10,0.004631,low,0.553644,mid
قفوا في الصف كل اثنين معا كي تدخلوا مع معلمتكم,7,0.009338,low,0.309021,low
أول يوم في الروضة,5,0.110600,low,0.849742,high
هيا . .,12,0.280699,low,0.421643,mid
اختاروا مقاعدكم بأنفسكم . .,8,0.000000,low,0.429189,mid
لا .,1,0.059434,low,0.827899,high
لا !,1,0.046745,low,0.741415,high
ليس هكذا . .,10,0.003682,low,0.222120,low
حسنا سأحدد أماكنكم حسب الترتيب الأبجدي,8,0.006027,low,0.322915,low
حروف الأبجدية أحفظها جيدا : أ ب ت ث . .,7,0.100351,low,0.525850,mid
ما اسمك يا صغيري ؟,9,0.032656,low,0.909021,high
"اسمي زكي , بحرف الزين , وينادونني زيكو",7,0.322565,low,0.611406,mid
